date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-01-01,6.8,1.3,14.7,0.0,,273.0,19.3,,,
2014-01-02,7.5,,14.4,,,,,,,
2014-01-03,10.4,,,0.0,,,,,,
2014-01-04,10.6,3.5,18.8,0.0,,197.0,9.5,,,
2014-01-05,11.7,8.9,20.0,0.0,,,9.2,,,
2014-01-06,10.0,,19.6,0.0,,,,,,
2014-01-07,9.7,4.3,18.2,0.0,,,13.2,,,
2014-01-08,9.5,,17.5,0.0,,,,,,
2014-01-09,9.9,7.9,17.1,0.0,,213.0,10.7,,,
2014-01-10,10.7,6.8,17.6,0.0,,,8.3,,,
2014-01-11,12.0,7.8,18.8,0.0,,,7.4,,,
2014-01-12,12.1,10.1,18.3,0.0,,,,,,
2014-01-13,11.0,4.8,17.8,0.0,,,,,,
2014-01-14,11.2,,15.4,0.0,,,,,,
2014-01-15,10.5,5.8,17.3,0.8,,328.0,17.2,,,
2014-01-16,9.3,2.9,17.4,0.0,,,9.9,,,
2014-01-17,9.9,3.8,17.8,,,,8.4,,,
2014-01-18,14.9,,,0.0,,,,,,
2014-01-19,15.6,10.8,17.8,0.0,,225.0,32.3,,,
2014-01-20,12.6,8.8,15.8,0.0,,242.0,38.9,,,
2014-01-21,9.8,,,0.0,,,,,,
2014-01-22,7.7,0.5,16.1,0.0,,,,,,
2014-01-23,8.9,1.7,17.0,0.0,,,,,,
2014-01-24,11.1,,18.3,0.0,,,,,,
2014-01-25,8.9,5.8,14.8,0.0,,290.0,23.4,,,
2014-01-26,11.7,7.4,21.2,0.0,,296.0,21.6,,,
2014-01-27,13.1,6.9,18.4,0.0,,,14.8,,,
2014-01-28,11.7,8.8,15.8,0.0,,256.0,23.5,,,
2014-01-29,10.4,5.2,17.8,0.0,,211.0,11.8,,,
2014-01-30,17.0,8.5,23.0,0.0,,,,,,
2014-01-31,12.6,12.5,14.1,0.3,,,15.1,,,
2014-02-01,10.2,8.8,12.8,3.3,,344.0,18.5,,,
2014-02-02,10.7,6.5,17.8,0.0,,296.0,27.8,,,
2014-02-03,9.9,2.8,15.8,0.0,,193.0,12.7,,,
2014-02-04,11.1,7.4,17.0,0.0,,210.0,15.2,,,
2014-02-05,9.3,2.8,16.0,0.8,,,,,,
2014-02-06,13.5,6.8,21.8,0.0,,263.0,11.9,,,
2014-02-07,15.5,5.9,,0.0,,,,,,
2014-02-08,13.1,10.8,19.1,0.0,,66.0,16.4,,,
2014-02-09,12.6,9.8,20.9,0.0,,230.0,14.3,,,
2014-02-10,16.1,9.7,24.2,0.0,,,12.4,,,
2014-02-11,10.2,7.8,13.8,0.5,,252.0,27.3,,,
2014-02-12,10.2,3.4,18.6,1.0,,278.0,18.1,,,
2014-02-13,10.8,7.3,18.8,0.0,,,8.5,,,
2014-02-14,15.6,5.5,22.2,0.0,,,,,,
2014-02-15,17.1,7.5,25.2,0.0,,231.0,10.5,,,
2014-02-16,15.6,6.7,27.6,0.0,,171.0,9.4,,,
2014-02-17,16.4,6.8,27.8,0.0,,153.0,17.5,,,
2014-02-18,19.2,11.8,25.8,0.0,,183.0,16.3,,,
2014-02-19,15.8,11.8,20.8,0.0,,40.0,18.0,,,
2014-02-20,11.4,11.6,16.5,0.0,,22.0,41.2,,,
2014-02-21,11.6,4.7,20.0,0.0,,273.0,21.5,,,
2014-02-22,12.4,5.8,20.8,,,,,,,
2014-02-23,11.0,,17.9,3.3,,,,,,
2014-02-24,10.7,3.6,18.5,0.0,,164.0,11.9,,,
2014-02-25,11.1,5.3,20.2,0.0,,,9.3,,,
2014-02-26,11.1,,19.4,,,,,,,
2014-02-27,10.9,7.8,14.8,5.6,,41.0,13.7,,,
2014-02-28,9.9,7.4,18.3,2.0,,33.0,21.6,,,
2014-03-01,11.6,8.4,19.1,0.0,,,,,,
2014-03-02,14.4,10.8,19.8,0.5,,273.0,24.1,,,
2014-03-03,14.4,6.8,19.8,0.0,,258.0,22.3,,,
2014-03-04,11.7,6.8,16.8,0.0,,270.0,25.9,,,
2014-03-05,11.4,5.8,16.8,0.8,,260.0,20.4,,,
2014-03-06,10.5,7.6,18.5,0.0,,,,,,
2014-03-07,10.5,4.8,15.8,0.0,,,11.6,,,
2014-03-08,11.2,8.5,20.0,0.0,,,,,,
2014-03-09,10.9,9.7,18.2,,,,16.1,,,
2014-03-10,10.4,6.4,19.3,0.0,,,16.5,,,
2014-03-11,11.0,8.8,19.3,,,,10.9,,,
